,City,Longitude,Latitude,Date,Temp (C),Humidity,Cloudiness(%),Wind Speed,Humidity%,Max_Temp(C)
89,Tuktoyaktuk,-133.03,69.44,1553788800,-9.0,85,75,4.1,85,-9.0
90,Upernavik,-56.15,72.79,1553792069,-12.73,100,68,4.91,100,-12.73
91,Norman Wells,-126.83,65.28,1553788800,-1.0,92,40,2.6,92,-1.0
92,Maningrida,134.23,-12.05,1553792462,26.83,90,76,4.76,90,26.83
93,Touros,-35.46,-5.2,1553788800,30.0,74,75,4.6,74,30.0
94,Yar-Sale,70.83,66.83,1553792463,-3.68,77,8,5.21,77,-3.68
95,Constitucion,-104.67,23.99,1553792417,21.03,25,5,1.5,25,23.89
96,Westport,-9.52,53.8,1553792438,11.96,62,40,5.7,62,13.33
97,Jamestown,138.6,-33.21,1553792079,10.58,71,92,1.61,71,10.58
98,Krasnoarmeysk,38.15,56.12,1553790600,1.48,47,0,3.0,47,2.0
99,Lagoa,-8.45,37.14,1553792424,19.27,45,0,7.2,45,20.56
100,Vitim,112.57,59.44,1553792464,-9.28,87,64,1.06,87,-9.28
101,Donskoy,39.32,47.12,1553790600,5.0,48,0,3.0,48,5.0
102,Fortuna,-1.13,38.18,1553792434,15.34,62,20,5.1,62,16.67
103,Fallon,-105.12,46.84,1553788560,1.0,69,90,5.1,69,1.0
104,Zhigalovo,105.15,54.81,1553792465,-7.78,79,80,1.31,79,-7.78
105,Cienfuegos,-80.44,22.15,1553788260,25.18,42,20,4.6,42,27.0
106,Karratha,116.85,-20.74,1553792466,24.18,82,0,4.21,82,24.18
107,Maceio,-35.74,-9.67,1553792400,29.0,62,40,5.7,62,29.0
108,Clyde River,-68.59,70.47,1553788800,-19.0,84,75,2.1,84,-19.0
109,Cockburn Town,-71.14,21.46,1553792205,23.58,100,48,2.31,100,23.58
110,Cap Malheureux,57.61,-19.98,1553792345,26.99,78,40,3.1,78,28.0
111,Faanui,-151.75,-16.48,1553792467,29.08,100,0,1.51,100,29.08
112,Oranjemund,16.43,-28.55,1553792467,15.98,92,56,8.86,92,15.98
113,Pedernales,-80.05,0.07,1553792467,25.48,89,80,2.66,89,25.48
114,Calama,-68.93,-22.46,1553790694,25.9,10,0,2.1,10,26.67
115,Basti,82.72,26.79,1553792468,24.18,53,0,3.26,53,24.18
116,Shimoda,138.93,34.7,1553791987,6.11,50,32,0.89,50,6.11
117,Grindavik,-22.43,63.84,1553792383,0.77,100,75,14.4,100,2.22
118,Gbadolite,21.0,4.28,1553792468,25.43,86,12,1.26,86,25.43
119,Mahebourg,57.7,-20.41,1553792345,26.69,78,40,3.1,78,28.0
120,Atuona,-139.03,-9.8,1553792070,27.83,100,0,7.06,100,27.83
121,Santa Cruz de la Palma,-17.76,28.68,1553792454,15.76,77,75,2.6,77,18.0
122,Jaypur,87.44,23.05,1553792325,31.11,50,0,4.06,50,31.11
123,Qaanaaq,-69.36,77.48,1553792079,-18.38,97,44,2.41,97,-18.38
124,Durazno,-56.52,-33.38,1553788800,24.0,50,20,5.7,50,24.0
125,Husavik,-96.99,50.56,1553792419,-1.11,53,8,6.26,53,-1.11
126,Lorengau,147.27,-2.02,1553792470,28.43,97,64,3.56,97,28.43
127,Minggang,114.03,32.45,1553792470,10.33,90,0,1.31,90,10.33
128,Esperance,-61.45,10.24,1553792451,30.73,59,40,7.2,59,32.0
129,Port Blair,92.75,11.67,1553792471,28.58,100,44,1.51,100,28.58
130,Fraga,0.35,41.52,1553792429,18.05,31,0,2.1,31,18.89
131,Longyearbyen,15.63,78.22,1553788200,-6.0,73,40,15.4,73,-6.0
132,Ekhabi,142.97,53.51,1553792471,-8.53,85,80,6.61,85,-8.53
133,East London,27.91,-33.02,1553788800,19.0,82,0,7.7,82,19.0
134,Acajutla,-89.83,13.59,1553792469,27.22,47,0,3.13,47,27.22
135,Caravelas,-39.27,-17.73,1553792453,26.98,100,36,8.71,100,26.98
136,Saint George,22.34,39.45,1553791995,11.36,50,75,2.6,50,12.0
137,Jalu,21.55,29.03,1553792472,18.53,93,92,5.86,93,18.53
138,Ahipara,173.16,-35.17,1553792472,16.63,100,64,3.11,100,16.63
139,Portland,-122.67,45.52,1553792109,5.76,100,90,2.1,100,8.33
140,Bubaque,-15.83,11.28,1553792473,30.73,75,0,4.41,75,30.73
141,Umarga,76.62,17.84,1553792473,23.98,40,0,1.66,40,23.98
142,Siguiri,-9.17,11.42,1553792473,35.38,36,36,3.01,36,35.38
143,Mount Vernon,-122.33,48.42,1553792341,10.37,66,1,3.1,66,12.0
144,Tamale,-0.84,9.4,1553792475,35.93,29,8,1.91,29,35.93
145,Huarmey,-78.15,-10.07,1553792475,25.53,61,24,1.86,61,25.53
146,Katsuura,134.5,33.93,1553790868,9.34,61,75,3.6,61,10.0
147,Mehamn,27.85,71.03,1553790000,2.0,80,75,9.3,80,2.0
148,Shingu,135.99,33.72,1553792476,13.08,100,88,5.21,100,13.08
149,Flinders,150.85,-34.58,1553792416,16.84,100,20,2.56,100,20.56
150,Mangrol,76.51,25.33,1553792477,20.93,56,0,0.96,56,20.93
151,Port Alfred,26.89,-33.59,1553792476,19.93,76,8,5.21,76,19.93
152,Alice Springs,133.88,-23.7,1553790600,16.0,31,0,2.1,31,16.0
153,College,-147.8,64.86,1553792407,-0.8,86,90,2.21,86,2.22
154,Canutama,-64.38,-6.53,1553792477,30.23,78,64,1.46,78,30.23
155,Haines Junction,-137.51,60.75,1553792477,-3.18,80,32,0.96,80,-3.18
156,Beloha,45.06,-25.17,1553792477,24.33,67,36,7.06,67,24.33
157,Muros,-9.06,42.77,1553792404,18.84,40,0,4.1,40,23.33
158,Nanortalik,-45.24,60.14,1553792478,-2.03,100,80,10.76,100,-2.03
159,Pacific Grove,-121.92,36.62,1553792414,11.52,81,75,2.1,81,13.89
160,Fairbanks,-147.72,64.84,1553792304,-0.74,86,90,2.21,86,2.22
161,Paka,18.06,45.29,1553790600,14.0,28,0,2.1,28,14.0
162,Los Llanos de Aridane,-17.92,28.66,1553792454,15.86,77,75,2.6,77,18.0
163,Vestmannaeyjar,-20.27,63.44,1553788800,-1.0,92,90,15.4,92,-1.0
164,Chuy,-53.46,-33.69,1553792479,23.13,77,0,7.06,77,23.13
165,Cabo San Lucas,-109.91,22.89,1553792475,26.74,24,5,1.91,24,30.0
166,Mareeba,145.42,-16.99,1553792429,24.69,94,90,2.6,94,26.0
167,Iqaluit,-68.52,63.75,1553788800,-8.99,62,90,9.36,62,-7.0
168,Kiomboi,34.41,-4.28,1553792480,21.63,82,76,1.96,82,21.63
169,Sitka,-99.65,37.17,1553791674,18.33,68,76,4.92,68,18.33
170,Ahlat,42.49,38.75,1553792480,-4.18,84,20,1.41,84,-4.18
171,Hovd,10.7,63.83,1553792464,10.37,43,0,13.9,43,13.0
172,Bredasdorp,20.04,-34.53,1553792445,22.07,61,32,8.2,61,25.0
173,Nelson Bay,152.14,-32.72,1553792460,17.92,87,68,4.96,87,19.44
174,Albacete,-1.86,39.0,1553792409,15.23,18,0,6.7,18,17.0
175,Kuzhithurai,77.18,8.32,1553790600,30.0,74,40,1.06,74,30.0
176,Kodiak,-94.76,39.95,1553792469,16.0,59,90,4.1,59,17.78
177,Port Elizabeth,-74.98,39.31,1553792469,11.49,52,1,3.6,52,13.89
178,Aksarka,67.8,66.56,1553792482,-2.68,87,8,4.71,87,-2.68
179,Ambovombe,46.09,-25.18,1553792482,24.68,81,48,7.16,81,24.68
180,Atherton,-2.49,53.52,1553792461,13.48,58,0,2.1,58,16.11
181,Saldanha,-6.55,41.42,1553792482,17.68,24,0,2.36,24,17.68
182,Scarborough,-0.41,54.28,1553792479,13.69,54,0,5.7,54,15.0
183,Korhogo,-5.63,9.46,1553792483,29.08,76,32,4.01,76,29.08
184,Hasaki,140.83,35.73,1553792077,6.61,100,75,2.6,100,7.22
185,Saskylakh,114.09,71.97,1553792450,-8.58,70,12,5.01,70,-8.58
186,Pandharpur,75.33,17.68,1553792483,26.23,22,0,3.36,22,26.23
187,Marysville,-82.49,42.91,1553792482,13.87,58,1,6.2,58,16.67
188,Mao,-71.08,19.55,1553792139,27.55,69,40,2.1,69,30.56
189,Cherskiy,161.3,68.75,1553792484,-23.38,70,36,1.96,70,-23.38
190,Lamu,122.3,0.57,1553792484,21.93,100,12,1.16,100,21.93
191,Ulladulla,150.48,-35.36,1553792361,12.96,100,20,5.81,100,14.44
192,Markova,104.21,52.21,1553792124,-3.13,63,75,5.0,63,-2.0
193,Tazovskiy,78.7,67.47,1553792485,-3.08,90,76,8.41,90,-3.08
194,Bakchar,82.07,57.02,1553792485,-6.38,73,0,1.06,73,-6.38
195,Manta,24.1,45.1,1553792485,3.73,63,8,1.46,63,3.73
196,Kawalu,108.21,-7.38,1553792485,20.43,99,92,1.06,99,20.43
197,Hanko,22.95,59.83,1553791769,2.78,79,20,1.79,79,2.78
198,Thompson,-97.86,55.74,1553788800,-12.0,51,75,5.1,51,-12.0
199,Abu Dhabi,54.37,24.47,1553788800,22.53,88,0,3.1,88,23.0
200,Yaan,8.57,7.38,1553792487,34.33,42,0,1.81,42,34.33
201,Vila Velha,-38.6,-3.71,1553791929,27.78,100,36,0.89,100,27.78
202,Goedereede,3.98,51.82,1553792482,10.52,87,90,1.5,87,12.22
203,Nome,-94.42,30.04,1553792441,21.06,60,90,5.1,60,22.0
204,Tevriz,72.4,57.51,1553792488,-0.03,90,76,2.66,90,-0.03
205,Jalalabad,70.46,34.43,1553788500,21.0,60,20,1.41,60,21.0
206,Rosetta,30.42,31.4,1553788800,19.0,68,92,4.1,68,19.0
207,Kingaroy,151.84,-26.54,1553792416,18.61,88,90,3.6,88,19.0
208,Buraydah,43.97,26.33,1553788800,23.0,31,0,2.6,31,23.0
209,Hithadhoo,73.08,-0.6,1553792455,28.63,100,44,3.21,100,28.63
210,Joensuu,29.76,62.6,1553792226,3.17,84,0,3.1,84,3.33
211,Batticaloa,81.69,7.71,1553792282,24.93,100,0,2.36,100,24.93
212,Elliot Lake,-82.65,46.37,1553788800,6.0,89,75,5.7,89,6.0
213,Berlevag,29.09,70.86,1553790000,1.64,80,75,9.3,80,2.0
214,Narva-Joesuu,28.04,59.46,1553792490,5.23,75,56,4.31,75,5.23
215,Yakeshi,120.73,49.28,1553792490,-10.93,72,0,4.46,72,-10.93
216,Lavumisa,31.88,-27.31,1553788800,27.0,69,20,1.5,69,27.0
217,Honiara,159.96,-9.43,1553792195,21.23,100,0,1.16,100,21.23
218,Susanville,-120.65,40.42,1553792285,3.68,69,1,1.5,69,5.56
219,Yerbogachen,108.01,61.28,1553792491,-7.38,67,68,1.11,67,-7.38
220,Usagara,32.99,-2.68,1553788800,25.0,73,75,7.2,73,25.0
221,Payo,103.64,-3.75,1553792491,23.83,94,68,1.21,94,23.83
222,Mount Gambier,140.78,-37.83,1553788800,11.0,87,20,3.6,87,11.0
223,Leningradskiy,178.42,69.38,1553792492,-13.23,88,56,8.21,88,-13.23
224,Mizan Teferi,35.58,6.99,1553792492,18.73,87,32,0.91,87,18.73
225,Laguna,-110.01,27.52,1553787660,23.0,28,5,1.0,28,23.0
226,Nurota,65.69,40.56,1553790600,12.0,81,24,2.1,81,12.0
227,San Pedro,-59.66,-33.68,1553792015,25.56,50,0,1.34,50,25.56
228,Ushtobe,77.98,45.25,1553792494,12.83,69,92,1.61,69,12.83
229,Fairview,-74.0,40.81,1553792491,9.87,49,1,3.1,49,11.67
230,Marsa Matruh,27.25,31.35,1553788800,24.0,29,75,3.1,29,24.0
231,Baruun-Urt,113.28,46.68,1553792497,-5.93,47,80,5.01,47,-5.93
232,Butterworth,100.37,5.4,1553790600,27.84,83,75,0.5,83,29.0
233,Champerico,-93.6,16.38,1553787900,25.0,53,40,3.1,53,25.0
234,Gamba,88.52,28.28,1553792498,-19.83,49,0,0.96,49,-19.83
235,Portales,-103.33,34.19,1553791678,19.51,52,40,5.1,52,22.22
236,Fuerte Olimpo,-57.87,-21.04,1553792498,33.08,73,12,2.21,73,33.08
237,San Cristobal,-78.55,-0.39,1553792436,17.66,49,75,2.6,49,22.0
238,Plettenberg Bay,23.37,-34.05,1553792498,19.43,94,8,4.61,94,19.43
239,Provideniya,-173.23,64.42,1553792499,-2.23,96,88,4.56,96,-2.23
240,Ust-Nera,143.24,64.57,1553792465,-28.38,48,0,0.86,48,-28.38
241,Gurlan,60.39,41.84,1553790600,8.82,76,90,4.1,76,10.0
242,Saint-Georges,-70.67,46.12,1553791677,6.85,40,88,3.13,40,7.22
243,Batagay-Alyta,130.41,67.8,1553792499,-26.93,44,0,1.21,44,-26.93
244,Salalah,54.1,17.01,1553788200,27.0,78,0,2.1,78,27.0
245,Alofi,-169.92,-19.06,1553788800,23.0,100,88,0.5,100,23.0
246,Sao Filipe,-24.5,14.9,1553792500,21.93,95,0,6.11,95,21.93
247,Dubti,41.09,11.74,1553792500,28.33,47,80,1.31,47,28.33
248,Teya,-89.07,21.05,1553791540,26.58,39,20,3.1,39,27.22
249,Tezu,96.16,27.93,1553792500,13.23,71,0,0.86,71,13.23
250,Barra do Garcas,-52.26,-15.89,1553788800,31.0,62,75,3.21,62,31.0
251,Burnie,145.91,-41.05,1553792434,12.57,97,0,5.91,97,13.89
252,Amapa,-87.97,15.09,1553792437,24.42,69,40,2.1,69,26.0
253,Afrikanda,32.78,67.44,1553792501,1.23,94,92,3.21,94,1.23
254,Te Anau,167.72,-45.41,1553792501,0.28,84,8,1.06,84,0.28
255,Raudeberg,5.14,61.99,1553792403,9.8,87,75,11.3,87,11.0
256,Dikson,80.55,73.51,1553792502,-6.08,95,88,8.66,95,-6.08
257,Valle de San Juan,-75.12,4.2,1553788800,26.0,74,75,2.1,74,26.0
258,Poshekhonye,39.12,58.5,1553792502,-7.03,75,20,2.56,75,-7.03
259,Souillac,-0.6,45.6,1553792384,16.49,39,0,7.2,39,17.0
260,San Vicente,-88.78,13.64,1553792120,29.72,24,0,8.2,24,35.0
261,Abilene,-99.73,32.45,1553792496,18.93,77,90,9.8,77,20.56
262,Manavalakurichi,77.3,8.13,1553790600,30.0,74,40,1.06,74,30.0
263,Sambava,50.17,-14.27,1553792505,26.73,100,56,4.41,100,26.73
264,Dukat,22.31,42.44,1553792506,4.73,46,0,2.06,46,4.73
265,Richards Bay,32.06,-28.77,1553792506,25.33,77,0,1.06,77,25.33
266,Vanimo,141.3,-2.67,1553792507,27.93,100,20,7.81,100,27.93
267,Ballitoville,31.21,-29.54,1553792258,22.77,78,20,5.1,78,24.44
268,Nishihara,139.53,35.74,1553792422,8.5,66,75,7.2,66,10.56
269,Matay,30.79,28.42,1553792508,18.18,35,0,3.01,35,18.18
270,Baza,-2.77,37.49,1553792422,11.43,44,0,5.36,44,12.78
271,Catamayo,-79.36,-3.99,1553788800,26.0,50,75,4.6,50,26.0
272,Faya,42.45,18.39,1553788800,18.52,68,20,6.7,68,19.0
273,Prachuap Khiri Khan,99.79,11.81,1553792262,24.48,91,64,1.11,91,24.48
274,Mocuba,36.99,-16.84,1553792508,21.63,85,0,2.31,85,21.63
275,Ormara,64.64,25.21,1553792509,27.13,61,76,5.71,61,27.13
276,Verkhoyansk,133.39,67.55,1553792509,-27.78,50,0,1.16,50,-27.78
277,Takoradi,-1.75,4.89,1553792509,28.88,93,0,3.46,93,28.88
278,Guerrero Negro,-114.04,27.97,1553792479,18.98,69,0,4.41,69,18.98
279,Butajira,38.38,8.12,1553792509,14.73,65,24,2.31,65,14.73
280,Nieuwpoort,2.75,51.13,1553792433,11.69,62,75,3.1,62,12.22
281,Kitsuki,131.62,33.42,1553792375,11.08,54,92,1.11,54,12.78
282,Ancud,-73.83,-41.87,1553788800,15.0,72,0,2.6,72,15.0
283,Nguru,10.45,12.88,1553792510,32.78,16,8,3.81,16,32.78
284,Basco,-91.2,40.33,1553792484,18.71,52,1,5.7,52,20.0
285,Kruisfontein,24.73,-34.0,1553792511,18.58,75,8,6.36,75,18.58
286,Ilulissat,-51.1,69.22,1553788200,-14.0,71,40,7.7,71,-14.0
287,Kavaratti,72.64,10.57,1553792437,28.58,100,24,5.76,100,28.58
288,Yashkul,45.34,46.17,1553792511,5.68,62,68,6.21,62,5.68
289,Manokwari,134.08,-0.87,1553792512,27.93,95,12,6.31,95,27.93
290,Zhangye,100.46,38.94,1553792512,-0.18,63,0,3.31,63,-0.18
291,Abha,42.5,18.22,1553788800,18.52,68,20,6.7,68,19.0
292,Praia da Vitoria,-27.07,38.73,1553791607,16.83,63,20,4.76,63,17.0
293,Betafo,46.86,-19.84,1553792513,15.23,93,36,1.86,93,15.23
294,Carutapera,-46.02,-1.2,1553792513,27.98,86,88,4.46,86,27.98
295,Kumluca,30.29,36.37,1553792514,4.83,93,92,0.76,93,4.83
296,Clarence Town,151.78,-32.59,1553792460,16.91,87,0,1.41,87,19.44
297,Victoria,115.24,5.28,1553790600,25.76,94,75,1.0,94,26.0
298,Dakar,-17.45,14.69,1553790600,23.48,57,0,8.2,57,24.0
299,Codrington,153.24,-28.95,1553792345,19.23,93,40,1.31,93,20.0
300,Brokopondo,-54.98,5.06,1553788800,32.0,55,40,4.1,55,32.0
301,Severo-Kurilsk,156.12,50.68,1553792515,-1.18,97,88,8.46,97,-1.18
302,Danville,-79.4,36.59,1553792477,15.22,28,1,2.36,28,16.11
303,Turukhansk,87.96,65.8,1553792515,-9.03,94,68,1.91,94,-9.03
304,Tarnogskiy Gorodok,43.58,60.5,1553792515,-8.98,67,0,1.61,67,-8.98
305,Camacha,-16.33,33.08,1553790600,18.57,72,40,2.1,72,19.0
306,Rochegda,43.41,62.67,1553792516,-4.53,89,0,2.36,89,-4.53
307,Bosaso,49.18,11.28,1553792516,26.28,100,0,1.21,100,26.28
308,Den Helder,4.76,52.96,1553792512,10.7,87,90,2.1,87,11.67
309,Riviere-au-Renard,-64.4,49.0,1553788800,5.0,35,90,1.0,35,5.0
310,Shelburne,-80.2,44.08,1553792509,8.53,61,90,7.2,61,10.56
311,Marsh Harbour,-77.06,26.54,1553792305,21.08,100,80,12.76,100,21.08
312,Port Macquarie,152.91,-31.43,1553792405,15.55,93,40,0.71,93,16.67
313,Hualmay,-77.61,-11.1,1553792517,25.03,69,20,1.81,69,25.03
314,Apartado,-76.63,7.88,1553788800,27.0,78,75,6.2,78,27.0
315,Severodvinsk,39.82,64.56,1553790600,2.0,69,20,5.0,69,2.0
316,Iwanai,140.51,42.97,1553792518,0.48,98,88,7.06,98,0.48
317,Geraldton,-86.95,49.72,1553790900,-4.0,62,75,7.7,62,-4.0
318,Ribeira Grande,-28.7,38.52,1553790600,16.0,55,75,5.7,55,16.0
319,Ayacucho,-74.23,-13.16,1553788800,14.0,76,90,1.5,76,14.0
320,Seoul,126.98,37.57,1553790600,7.56,36,75,1.5,36,9.0
321,Tual,132.75,-5.67,1553792519,27.88,100,56,6.91,100,27.88
322,Melipilla,-71.21,-33.69,1553788800,17.75,82,90,3.1,82,20.0
323,Malesici,18.27,44.74,1553788800,13.0,20,0,3.6,20,13.0
324,Ponta do Sol,-46.0,-20.63,1553792520,27.93,59,36,2.11,59,27.93
325,Bathsheba,-59.52,13.22,1553788800,29.0,66,40,9.3,66,29.0
326,Mora,-8.17,38.94,1553792398,23.32,27,0,2.68,27,23.89
327,Puerto Escondido,-97.07,15.86,1553787660,29.0,54,5,2.6,54,29.0
328,Sarahan,77.79,31.51,1553792520,-10.88,97,20,0.66,97,-10.88
329,Broken Hill,141.45,-31.97,1553788800,19.0,45,12,0.5,45,19.0
330,Rio Viejo,-79.51,-2.26,1553792426,28.14,78,40,3.6,78,28.33
331,Poronaysk,143.1,49.22,1553792521,-8.38,86,64,4.26,86,-8.38
332,Luau,22.23,-10.7,1553792521,23.18,72,20,1.61,72,23.18
333,Dingtao,115.56,35.07,1553792521,10.33,100,24,2.61,100,10.33
334,Marathon,-86.38,48.72,1553791680,-2.0,86,90,6.7,86,-2.0
335,Basoko,23.61,1.23,1553792521,29.98,55,12,2.91,55,29.98
336,Makakilo City,-158.09,21.35,1553792231,18.4,88,40,2.1,88,20.0
337,Neepawa,-99.46,50.23,1553788800,-1.0,58,75,4.6,58,-1.0
338,Ostersund,14.64,63.18,1553792512,9.26,62,0,4.6,62,9.44
339,Coquimbo,-71.34,-29.95,1553788800,15.0,82,90,2.6,82,15.0
340,Comodoro Rivadavia,-67.48,-45.87,1553788800,20.0,45,0,1.5,45,20.0
341,Nador,-2.93,35.17,1553790600,16.0,59,20,6.7,59,16.0
342,Myslenice,19.94,49.83,1553792504,8.27,70,75,1.0,70,9.44
